episode,reward,episode_length,running_reward,switch_rate,max_cart_velocity,max_pole_angle,max_angular_velocity,mean_pole_angle,mean_angular_velocity
91,44.0,44,28.41647688970743,0.5348837209302325,0.747277,0.196105,1.037345,0.05405445,0.40625432
92,34.0,34,28.472312120810354,0.45454545454545453,0.9333597,0.20241377,1.3216337,0.06687649,0.51343596
93,34.0,34,28.52758899960225,0.5454545454545454,0.7413493,0.2079468,1.3863227,0.0695716,0.4674757
94,140.0,140,29.642313109606228,0.5683453237410072,2.0832863,0.12381963,0.89906657,0.06099716,0.26353624
95,52.0,52,29.865889978510165,0.5490196078431373,0.5597064,0.20567046,0.98763245,0.04667963,0.36936826
96,21.0,21,29.777231078725062,0.6,0.55442417,0.20695946,0.94427776,0.10381116,0.44452024
97,25.0,25,29.72945876793781,0.625,0.56460387,0.20489557,0.977623,0.11225078,0.44364178
98,40.0,40,29.83216418025843,0.46153846153846156,0.60716707,0.20109488,1.3349518,0.07433872,0.34287623
99,45.0,45,29.983842538455846,0.4318181818181818,0.9684618,0.20914623,1.2186817,0.073408686,0.42678052
100,16.0,16,29.84400411307129,0.7333333333333333,0.60637563,0.19667596,1.2903681,0.10022272,0.58171225
101,23.0,23,29.775564071940575,0.45454545454545453,0.5820665,0.20627187,1.0208467,0.08685268,0.4591216
102,37.0,37,29.84780843122117,0.6666666666666666,0.7647368,0.20513318,0.7783903,0.11245796,0.3200622
103,82.0,82,30.36933034690896,0.5679012345679012,0.8341712,0.20396674,1.5193665,0.03264475,0.3446228
104,44.0,44,30.505637043439872,0.5348837209302325,0.72920763,0.20441093,1.2032287,0.09427261,0.3388483
105,48.0,48,30.680580673005473,0.5531914893617021,1.108163,0.20495553,1.0202781,0.11920691,0.2954917
106,55.0,55,30.92377486627542,0.5740740740740741,0.52019495,0.20026886,1.1673445,0.055473413,0.30401215
107,26.0,26,30.874537117612665,0.48,0.9853675,0.20532528,1.5358797,0.052279595,0.542442
108,52.0,52,31.085791746436538,0.5686274509803921,1.0815021,0.20724338,0.72781056,0.12944184,0.27582517
109,109.0,109,31.864933828972173,0.6018518518518519,1.2396603,0.2042325,1.1159669,0.06542516,0.29305595
110,13.0,13,31.676284490682452,0.5833333333333334,0.6335319,0.20223977,1.1112685,0.109192245,0.69743675
111,51.0,51,31.869521645775627,0.58,0.9525363,0.2070578,0.93704426,0.09518721,0.29036802
112,36.0,36,31.910826429317872,0.5428571428571428,0.51221496,0.1995282,0.9814672,0.09361336,0.31017116
113,30.0,30,31.891718165024695,0.5862068965517241,0.5695555,0.20455222,0.9915899,0.10671766,0.36596078
114,72.0,72,32.29280098337445,0.6056338028169014,0.8739438,0.20835689,1.155932,0.08046782,0.2654733
115,133.0,133,33.2998729735407,0.5757575757575758,1.1351875,0.20410797,1.0327842,0.07451282,0.28886855
116,61.0,61,33.57687424380529,0.65,0.40154505,0.1931362,1.0815052,0.034269545,0.35247734
117,109.0,109,34.33110550136724,0.5462962962962963,2.723249,0.18570632,1.0107455,0.12046278,0.2653212
118,120.0,120,35.18779444635357,0.5714285714285714,1.1808262,0.19745491,1.1663388,0.055844054,0.38230696
119,29.0,29,35.12591650189003,0.6428571428571429,0.99322355,0.20008492,1.2892319,0.084072985,0.4944637
120,23.0,23,35.00465733687113,0.7272727272727273,0.38131058,0.20251046,0.86380506,0.09694986,0.42224365
121,54.0,54,35.19461076350241,0.6037735849056604,0.80199313,0.20267774,1.1024451,0.056251887,0.43518117
